Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,Moves
Rapid swiss https://lichess.org/swiss/L5pybCkr,https://lichess.org/T3wbmrch,2024.08.01,-,nguyenminh030216,MinhQuan2018,0-1,2024.08.01,13:47:15,1078,1081,,,?,?,600+0,Time forfeit,0-1
Rapid swiss https://lichess.org/swiss/L5pybCkr,https://lichess.org/gQJjyiDQ,2024.08.01,-,lebaotin,lethanhphuc123,0-1,2024.08.01,13:47:15,1329,1281,,,?,?,600+0,Normal,0-1
Rapid swiss https://lichess.org/swiss/L5pybCkr,https://lichess.org/gFNPO8MO,2024.08.01,-,NguyenBuiAnhQuan,LeMinhChESS-Pro,0-1,2024.08.01,13:47:15,1023,1355,,,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",600+0,Normal,"1. e4 { [%clk 0:10:00] } 1... e5 { [%clk 0:10:00] } 2. Nf3 { [%clk 0:09:59] }
2... Nc6 { [%clk 0:09:59] } 3. Bc4 { [%clk 0:09:56] } 3... Nf6
{ [%clk 0:09:57] } 4. d3 { [%clk 0:09:51] } 4... h6 { [%clk 0:09:54] } 5. h3
{ [%clk 0:09:43] } 5... Bc5 { [%clk 0:09:50] } 6. O-O { [%clk 0:09:37] } 6...
d6 { [%clk 0:09:49] } 7. Nc3 { [%clk 0:09:35] } 7... Nd4 { [%clk 0:09:47] } 8.
Be3 { [%clk 0:09:27] } 8... Nxf3+ { [%clk 0:09:42] } 9. Qxf3 { [%clk 0:09:25] }
9... Bxe3 { [%clk 0:09:41] } 10. Qxe3 { [%clk 0:09:23] } 10... Be6
{ [%clk 0:09:38] } 11. Bxe6 { [%clk 0:09:19] } 11... fxe6 { [%clk 0:09:36] }
12. a4 { [%clk 0:09:13] } 12... d5 { [%clk 0:09:25] } 13. exd5
{ [%clk 0:09:10] } 13... Nxd5 { [%clk 0:09:19] } 14. Nxd5 { [%clk 0:09:06] }
14... Qxd5 { [%clk 0:09:17] } 15. c4 { [%clk 0:09:02] } 15... Qd6
{ [%clk 0:09:15] } 16. b3 { [%clk 0:08:56] } 16... O-O { [%clk 0:09:11] } 17.
Rad1 { [%clk 0:08:45] } 17... Qd4 { [%clk 0:09:08] } 18. Rde1
{ [%clk 0:08:36] } 18... Qb2 { [%clk 0:09:01] } 19. Rb1 { [%clk 0:08:20] }
19... Qd4 { [%clk 0:08:58] } 20. g3 { [%clk 0:08:10] } 20... Rad8
{ [%clk 0:08:45] } 21. Rfe1 { [%clk 0:07:58] } 21... Rfe8 { [%clk 0:08:34] }
22. Qxe5 { [%clk 0:07:44] } 22... Qxd3 { [%clk 0:08:29] } 23. Qxc7
{ [%clk 0:07:39] } 23... Rd7 { [%clk 0:08:22] } 24. Qe5 { [%clk 0:07:32] }
24... Ree7 { [%clk 0:08:03] } 25. c5 { [%clk 0:07:11] } 25... Rd5
{ [%clk 0:07:58] } 26. Qe3 { [%clk 0:06:31] } 26... e5 { [%clk 0:07:46] } 27.
b4 { [%clk 0:06:24] } 27... e4 { [%clk 0:07:36] } 28. a5 { [%clk 0:06:14] }
28... Ree5 { [%clk 0:07:26] } 29. Qf4 { [%clk 0:06:03] } 29... Rf5
{ [%clk 0:07:11] } 30. Qb8+ { [%clk 0:05:57] } 30... Kh7 { [%clk 0:07:07] } 31.
Qxb7 { [%clk 0:05:50] } 31... Qf3 { [%clk 0:07:05] } 32. Qb5 { [%clk 0:05:19] }
32... Qxf2+ { [%clk 0:07:02] } 33. Kh1 { [%clk 0:05:09] } 33... Qxg3
{ [%clk 0:06:59] } 34. Rg1 { [%clk 0:05:00] } 34... Qxh3# { [%clk 0:06:56] }
0-1"
Rapid swiss https://lichess.org/swiss/L5pybCkr,https://lichess.org/Kv9tR2h0,2024.08.01,-,Tung_Lam_2017,phucnguyen1,0-1,2024.08.01,13:47:15,1372,1217,,,D37,Queen's Gambit Declined: Three Knights Variation,600+0,Normal,"1. d4 { [%clk 0:10:00] } 1... d5 { [%clk 0:10:00] } 2. c4 { [%clk 0:09:57] }
2... Nf6 { [%clk 0:09:56] } 3. Nc3 { [%clk 0:09:54] } 3... e6
{ [%clk 0:09:51] } 4. Nf3 { [%clk 0:09:49] } 4... Nc6 { [%clk 0:09:45] } 5. Bg5
{ [%clk 0:09:47] } 5... Be7 { [%clk 0:09:39] } 6. e3 { [%clk 0:09:45] } 6...
Ne4 { [%clk 0:09:37] } 7. Nxe4 { [%clk 0:09:40] } 7... dxe4 { [%clk 0:09:34] }
8. Bxe7 { [%clk 0:09:37] } 8... Qxe7 { [%clk 0:09:33] } 9. Nd2
{ [%clk 0:09:34] } 9... O-O { [%clk 0:09:30] } 10. g3 { [%clk 0:09:30] } 10...
h6 { [%clk 0:09:23] } 11. Bg2 { [%clk 0:09:27] } 11... e5 { [%clk 0:09:21] }
12. d5 { [%clk 0:09:24] } 12... Nb4 { [%clk 0:09:18] } 13. O-O
{ [%clk 0:09:15] } 13... Nd3 { [%clk 0:09:14] } 14. Nxe4 { [%clk 0:09:09] }
14... Nxb2 { [%clk 0:09:11] } 15. Qb3 { [%clk 0:09:03] } 15... Nxc4
{ [%clk 0:09:07] } 16. Qxc4 { [%clk 0:09:01] } 16... c6 { [%clk 0:09:01] } 17.
dxc6 { [%clk 0:08:56] } 17... bxc6 { [%clk 0:08:59] } 18. Nc5
{ [%clk 0:08:53] } 18... Be6 { [%clk 0:08:42] } 19. Nxe6 { [%clk 0:08:50] }
19... fxe6 { [%clk 0:08:40] } 20. Qxc6 { [%clk 0:08:44] } 20... Rac8
{ [%clk 0:08:36] } 21. Qe4 { [%clk 0:08:31] } 21... Qc7 { [%clk 0:08:19] } 22.
Kh1 { [%clk 0:08:03] } 22... Qc4 { [%clk 0:07:43] } 23. Qxc4 { [%clk 0:07:54] }
23... Rxc4 { [%clk 0:07:08] } 24. Bh3 { [%clk 0:07:50] } 24... Rf6
{ [%clk 0:06:59] } 25. Rfd1 { [%clk 0:07:45] } 25... Rc5 { [%clk 0:06:50] } 26.
Rd7 { [%clk 0:07:37] } 26... Kh7 { [%clk 0:06:47] } 27. Rxa7 { [%clk 0:07:28] }
27... Rxf2 { [%clk 0:06:42] } 28. Bxe6 { [%clk 0:07:15] } 28... Rcc2
{ [%clk 0:06:38] } 29. Bf5+ { [%clk 0:07:13] } 29... Rxf5 { [%clk 0:06:35] }
30. a4 { [%clk 0:06:55] } 30... Rff2 { [%clk 0:06:33] } 31. a5
{ [%clk 0:06:48] } 31... Rxh2+ { [%clk 0:06:31] } 32. Kg1 { [%clk 0:06:44] }
32... Rcg2+ { [%clk 0:06:31] } 33. Kf1 { [%clk 0:06:42] } 33... Rf2+
{ [%clk 0:06:30] } 34. Kg1 { [%clk 0:06:39] } 34... Rhg2+ { [%clk 0:06:28] }
35. Kh1 { [%clk 0:06:37] } 35... Rh2+ { [%clk 0:06:27] } 36. Kg1
{ [%clk 0:06:35] } 36... Rfg2+ { [%clk 0:06:25] } 37. Kf1 { [%clk 0:06:34] }
37... Rf2+ { [%clk 0:06:24] } 38. Ke1 { [%clk 0:06:32] } 38... Rfg2
{ [%clk 0:06:24] } 39. Ra3 { [%clk 0:06:22] } 39... Rxg3 { [%clk 0:06:20] } 40.
a6 { [%clk 0:06:14] } 40... Rg1# { [%clk 0:06:17] } 0-1"
Rated Rapid game,https://lichess.org/ts7xFeHd,2024.08.01,-,whymah,Irobot1234,0-1,2024.08.01,13:47:17,1316,1285,,,A43,Benoni Defense: Old Benoni,600+0,Normal,"1. d4 { [%clk 0:10:00] } 1... c5 { [%clk 0:10:00] } 2. c3 { [%clk 0:09:50] }
2... cxd4 { [%clk 0:09:58] } 3. cxd4 { [%clk 0:09:49] } 3... Nf6
{ [%clk 0:09:58] } 4. Nc3 { [%clk 0:09:48] } 4... d5 { [%clk 0:09:57] } 5. Bf4
{ [%clk 0:09:41] } 5... Qb6 { [%clk 0:09:49] } 6. e3 { [%clk 0:09:37] } 6...
Qxb2 { [%clk 0:09:47] } 7. Qd2 { [%clk 0:09:24] } 7... Qxa1+ { [%clk 0:09:44] }
0-1"
Rated Rapid game,https://lichess.org/KRQPkX8H,2024.08.01,-,rk_rc,wenting0717,1-0,2024.08.01,13:47:17,1612,1500,,,B02,"Alekhine Defense: Mokele Mbembe, Vavra Defense",600+0,Normal,"1. e4 { [%clk 0:10:00] } 1... e6 { [%clk 0:10:00] } 2. d4 { [%clk 0:09:58] }
2... Nf6 { [%clk 0:09:58] } 3. e5 { [%clk 0:09:56] } 3... Ne4
{ [%clk 0:09:50] } 4. Bd3 { [%clk 0:09:52] } 4... f5 { [%clk 0:09:25] } 5. Nf3
{ [%clk 0:09:48] } 5... Bb4+ { [%clk 0:09:13] } 6. c3 { [%clk 0:09:45] } 6...
Ba5 { [%clk 0:09:10] } 7. O-O { [%clk 0:09:38] } 7... d6 { [%clk 0:09:07] } 8.
Bxe4 { [%clk 0:09:29] } 8... fxe4 { [%clk 0:08:57] } 9. Bg5 { [%clk 0:09:26] }
9... Qd7 { [%clk 0:08:47] } 10. Nfd2 { [%clk 0:09:17] } 10... Qc6
{ [%clk 0:08:07] } 11. Qh5+ { [%clk 0:09:04] } 11... g6 { [%clk 0:07:55] } 12.
Qg4 { [%clk 0:09:01] } 12... dxe5 { [%clk 0:07:38] } 13. Nxe4
{ [%clk 0:08:53] } 13... exd4 { [%clk 0:07:32] } 14. Nf6+ { [%clk 0:08:50] }
14... Kf7 { [%clk 0:07:18] } 15. Qxd4 { [%clk 0:08:43] } 15... Bxc3
{ [%clk 0:06:39] } 16. Nxc3 { [%clk 0:08:39] } 16... Ke7 { [%clk 0:06:20] } 17.
Nfd5+ { [%clk 0:08:29] } 17... Kd6 { [%clk 0:06:10] } 18. Bf4+
{ [%clk 0:08:24] } 18... Kd7 { [%clk 0:05:57] } 19. Nb4+ { [%clk 0:08:22] }
19... Ke7 { [%clk 0:05:46] } 20. Nxc6+ { [%clk 0:08:20] } 20... bxc6
{ [%clk 0:05:43] } 21. Qxh8 { [%clk 0:08:19] } 21... Nd7 { [%clk 0:05:38] } 22.
Qxh7+ { [%clk 0:08:17] } 22... Kf6 { [%clk 0:05:16] } 23. Qh8+
{ [%clk 0:08:11] } 23... Kf5 { [%clk 0:05:09] } 24. Qh6 { [%clk 0:08:09] }
24... Nc5 { [%clk 0:05:03] } 25. Qg5# { [%clk 0:08:02] } 1-0"
Rated Rapid game,https://lichess.org/pirenu2T,2024.08.01,-,chuquin288230,MJC061601,0-1,2024.08.01,13:47:17,1811,1752,,,E30,Nimzo-Indian Defense: Leningrad Variation,600+0,Normal,"1. d4 { [%clk 0:10:00] } 1... Nf6 { [%clk 0:10:00] } 2. c4 { [%clk 0:09:57] }
2... e6 { [%clk 0:09:54] } 3. Nc3 { [%clk 0:09:55] } 3... Bb4
{ [%clk 0:09:52] } 4. Bg5 { [%clk 0:09:52] } 4... c5 { [%clk 0:09:41] } 5. a3
{ [%clk 0:09:48] } 5... cxd4 { [%clk 0:09:38] } 6. Qxd4 { [%clk 0:09:46] } 6...
Be7 { [%clk 0:09:33] } 7. Nf3 { [%clk 0:09:36] } 7... Nc6 { [%clk 0:09:31] } 8.
Qd1 { [%clk 0:09:21] } 8... O-O { [%clk 0:09:28] } 9. e3 { [%clk 0:09:11] }
9... Qa5 { [%clk 0:09:21] } 10. Qc2 { [%clk 0:09:04] } 10... h6
{ [%clk 0:09:00] } 11. Bh4 { [%clk 0:09:01] } 11... d5 { [%clk 0:08:47] } 12.
cxd5 { [%clk 0:08:56] } 12... exd5 { [%clk 0:08:41] } 13. Bd3
{ [%clk 0:08:48] } 13... Be6 { [%clk 0:08:27] } 14. O-O { [%clk 0:08:46] }
14... Rac8 { [%clk 0:08:12] } 15. Nd4 { [%clk 0:08:29] } 15... Nxd4
{ [%clk 0:08:08] } 16. exd4 { [%clk 0:08:28] } 16... Rfd8 { [%clk 0:07:45] }
17. Qd2 { [%clk 0:08:21] } 17... Qb6 { [%clk 0:07:12] } 18. Bc2
{ [%clk 0:08:04] } 18... Qxb2 { [%clk 0:07:02] } 19. Na4 { [%clk 0:07:58] }
19... Qxc2 { [%clk 0:06:53] } 0-1"
Rated Rapid game,https://lichess.org/MfZmP5RI,2024.08.01,-,Pablotore,Ddddaniels,1-0,2024.08.01,13:47:17,1051,1076,,,B07,King's Pawn Game: Maróczy Defense,600+0,Normal,"1. e4 { [%clk 0:10:00] } 1... e5 { [%clk 0:10:00] } 2. d4 { [%clk 0:09:54] }
2... d6 { [%clk 0:09:55] } 3. Bc4 { [%clk 0:09:42] } 3... Nf6
{ [%clk 0:09:46] } 4. dxe5 { [%clk 0:09:35] } 4... dxe5 { [%clk 0:09:43] } 5.
Bxf7+ { [%clk 0:09:24] } 5... Ke7 { [%clk 0:09:33] } 6. Qxd8+
{ [%clk 0:09:10] } 6... Kxd8 { [%clk 0:09:32] } 7. Bg5 { [%clk 0:09:04] } 7...
Be7 { [%clk 0:09:29] } 8. Bxf6 { [%clk 0:08:50] } 8... Bxf6 { [%clk 0:09:29] }
9. Nf3 { [%clk 0:08:48] } 9... Rf8 { [%clk 0:09:23] } 10. Bd5
{ [%clk 0:08:42] } 10... c6 { [%clk 0:09:21] } 11. Bc4 { [%clk 0:08:39] } 11...
b5 { [%clk 0:09:18] } 12. Bb3 { [%clk 0:08:37] } 12... Bb7 { [%clk 0:09:07] }
13. O-O { [%clk 0:08:35] } 13... c5 { [%clk 0:09:04] } 14. Rd1+
{ [%clk 0:08:30] } 14... Kc7 { [%clk 0:08:59] } 15. Be6 { [%clk 0:08:17] }
15... Bc6 { [%clk 0:08:12] } 16. Nc3 { [%clk 0:07:58] } 16... Nd7
{ [%clk 0:08:01] } 17. Nd5+ { [%clk 0:07:54] } 17... Kd6 { [%clk 0:07:54] } 18.
Bxd7 { [%clk 0:07:42] } 18... Kxd7 { [%clk 0:07:41] } 19. Nxf6+
{ [%clk 0:07:33] } 19... Ke6 { [%clk 0:07:40] } 20. Nxh7 { [%clk 0:07:30] }
20... Bxe4 { [%clk 0:07:35] } 1-0"
Rated Rapid game,https://lichess.org/UaOR0wUI,2024.08.01,-,Veluyadav,rohjinwook,0-1,2024.08.01,13:47:17,2189,2092,,,B01,"Scandinavian Defense: Modern Variation, Gipslis Variation",600+0,Time forfeit,"1. e4 { [%clk 0:10:00] } 1... d5 { [%clk 0:10:00] } 2. exd5 { [%clk 0:09:59] }
2... Nf6 { [%clk 0:09:59] } 3. Nf3 { [%clk 0:09:51] } 3... Nxd5
{ [%clk 0:09:57] } 4. d4 { [%clk 0:09:50] } 4... Bg4 { [%clk 0:09:49] } 5. Be2
{ [%clk 0:09:48] } 5... e6 { [%clk 0:09:48] } 6. c4 { [%clk 0:09:47] } 6... Nb6
{ [%clk 0:09:45] } 7. O-O { [%clk 0:09:33] } 7... c6 { [%clk 0:09:42] } 8. c5
{ [%clk 0:09:06] } 8... Nd5 { [%clk 0:09:40] } 9. Nc3 { [%clk 0:08:54] } 9...
Be7 { [%clk 0:09:36] } 10. Nxd5 { [%clk 0:08:43] } 10... exd5
{ [%clk 0:09:34] } 11. Bf4 { [%clk 0:08:36] } 11... O-O { [%clk 0:09:32] } 12.
Ne5 { [%clk 0:08:32] } 12... Bf5 { [%clk 0:09:24] } 13. Bd3 { [%clk 0:08:29] }
13... Bxd3 { [%clk 0:09:03] } 14. Qxd3 { [%clk 0:08:01] } 14... Re8
{ [%clk 0:09:01] } 15. Qf3 { [%clk 0:07:46] } 15... Bf6 { [%clk 0:08:38] } 16.
Rad1 { [%clk 0:07:04] } 16... Nd7 { [%clk 0:08:35] } 17. Rfe1
{ [%clk 0:06:02] } 17... Qa5 { [%clk 0:07:48] } 18. Bd2 { [%clk 0:05:43] }
18... Qc7 { [%clk 0:07:06] } 19. Nxd7 { [%clk 0:05:07] } 19... Rxe1+
{ [%clk 0:06:49] } 20. Bxe1 { [%clk 0:04:20] } 20... Qxd7 { [%clk 0:06:47] }
21. Bc3 { [%clk 0:04:16] } 21... Re8 { [%clk 0:06:39] } 22. h3
{ [%clk 0:04:14] } 22... b6 { [%clk 0:06:30] } 23. cxb6 { [%clk 0:04:04] }
23... axb6 { [%clk 0:06:28] } 24. a4 { [%clk 0:04:02] } 24... h6
{ [%clk 0:06:20] } 25. a5 { [%clk 0:03:59] } 25... bxa5 { [%clk 0:06:05] } 26.
Bxa5 { [%clk 0:03:57] } 26... Qd6 { [%clk 0:05:59] } 27. Bc3 { [%clk 0:03:03] }
27... Bd8 { [%clk 0:05:35] } 28. Ra1 { [%clk 0:02:55] } 28... Bc7
{ [%clk 0:05:31] } 29. g3 { [%clk 0:02:52] } 29... Qe6 { [%clk 0:05:27] } 30.
Ra7 { [%clk 0:02:48] } 30... Bd6 { [%clk 0:04:42] } 31. Kg2 { [%clk 0:02:45] }
31... f5 { [%clk 0:03:31] } 32. Ra6 { [%clk 0:02:33] } 32... Rc8
{ [%clk 0:02:53] } 33. b4 { [%clk 0:02:21] } 33... f4 { [%clk 0:02:46] } 34. g4
{ [%clk 0:02:19] } 34... Qe4 { [%clk 0:02:37] } 35. Qxe4 { [%clk 0:02:16] }
35... dxe4 { [%clk 0:02:36] } 36. Bd2 { [%clk 0:01:43] } 36... f3+
{ [%clk 0:02:31] } 37. Kf1 { [%clk 0:01:40] } 37... Be7 { [%clk 0:02:09] } 38.
Ra7 { [%clk 0:01:23] } 38... Kf8 { [%clk 0:02:06] } 39. Rb7 { [%clk 0:01:14] }
39... Rd8 { [%clk 0:02:01] } 40. Be3 { [%clk 0:01:11] } 40... c5
{ [%clk 0:01:47] } 41. bxc5 { [%clk 0:01:09] } 41... Bxc5 { [%clk 0:01:46] }
42. Ke1 { [%clk 0:00:51] } 42... Bxd4 { [%clk 0:01:41] } 43. Bxd4
{ [%clk 0:00:50] } 43... Rxd4 { [%clk 0:01:40] } 44. Rb5 { [%clk 0:00:46] }
44... Kf7 { [%clk 0:01:38] } 45. Re5 { [%clk 0:00:44] } 45... Kf6
{ [%clk 0:01:35] } 46. Re8 { [%clk 0:00:42] } 46... Kg5 { [%clk 0:01:30] } 47.
Rg8 { [%clk 0:00:39] } 47... g6 { [%clk 0:01:26] } 48. h4+ { [%clk 0:00:37] }
48... Kxg4 { [%clk 0:01:18] } 49. Rxg6+ { [%clk 0:00:35] } 49... Kxh4
{ [%clk 0:01:01] } 50. Rxh6+ { [%clk 0:00:34] } 50... Kg5 { [%clk 0:01:01] }
51. Rh8 { [%clk 0:00:32] } 51... Kf5 { [%clk 0:00:59] } 52. Rf8+
{ [%clk 0:00:31] } 52... Ke5 { [%clk 0:00:58] } 53. Re8+ { [%clk 0:00:31] }
53... Kd5 { [%clk 0:00:57] } 54. Rd8+ { [%clk 0:00:29] } 54... Kc4
{ [%clk 0:00:56] } 55. Rc8+ { [%clk 0:00:28] } 55... Kd3 { [%clk 0:00:55] } 56.
Rc1 { [%clk 0:00:26] } 56... Ra4 { [%clk 0:00:49] } 57. Rd1+ { [%clk 0:00:24] }
57... Kc4 { [%clk 0:00:46] } 58. Rc1+ { [%clk 0:00:22] } 58... Kb3
{ [%clk 0:00:41] } 59. Kd2 { [%clk 0:00:21] } 59... Ra2+ { [%clk 0:00:37] } 60.
Ke3 { [%clk 0:00:20] } 60... Re2+ { [%clk 0:00:36] } 61. Kf4 { [%clk 0:00:18] }
61... Kb2 { [%clk 0:00:33] } 62. Rf1 { [%clk 0:00:14] } 62... Kc2
{ [%clk 0:00:31] } 63. Ra1 { [%clk 0:00:11] } 63... Kd3 { [%clk 0:00:26] } 64.
Ra3+ { [%clk 0:00:08] } 64... Kd2 { [%clk 0:00:25] } 65. Ra2+
{ [%clk 0:00:07] } 65... Ke1 { [%clk 0:00:24] } 66. Rxe2+ { [%clk 0:00:04] }
66... fxe2 { [%clk 0:00:23] } 67. Kxe4 { [%clk 0:00:02] } 67... Kxf2
{ [%clk 0:00:22] } 68. Kd3 { [%clk 0:00:01] } 68... e1=Q { [%clk 0:00:22] } 0-1"
Rated Rapid game,https://lichess.org/VFcraMMf,2024.08.01,-,Nidhi2017,k31cam,0-1,2024.08.01,13:47:17,684,797,,,C20,English Opening: The Whale,600+0,Time forfeit,"1. e4 { [%eval 0.15] [%clk 0:10:00] } 1... e5 { [%eval 0.21] [%clk 0:10:00] }
2. c4 { [%eval -0.27] [%clk 0:09:53] } 2... c5 { [%eval 0.17] [%clk 0:09:57] }
3. Nf3 { [%eval 0.0] [%clk 0:09:33] } 3... a5 $2
{ [%eval 1.62] [%clk 0:09:53] } 4. Nxe5 { [%eval 1.53] [%clk 0:09:17] } 4... d6
{ [%eval 1.64] [%clk 0:09:51] } 5. Nf3 { [%eval 1.51] [%clk 0:08:57] } 5... Nc6
{ [%eval 1.86] [%clk 0:09:37] } 6. Nc3 { [%eval 1.58] [%clk 0:08:16] } 6... Bg4
{ [%eval 1.5] [%clk 0:09:33] } 7. h3 { [%eval 1.47] [%clk 0:07:46] } 7... Bh5
$2 { [%eval 3.02] [%clk 0:09:29] } 8. Nd5 $2 { [%eval 1.27] [%clk 0:07:15] }
8... Nb4 $2 { [%eval 2.32] [%clk 0:08:54] } 9. a3
{ [%eval 1.84] [%clk 0:07:00] } 9... Nc6 $6 { [%eval 2.48] [%clk 0:08:44] } 10.
h4 $2 { [%eval 1.39] [%clk 0:06:23] } 10... g6 { [%eval 1.64] [%clk 0:08:09] }
11. Ng5 $4 { [%eval -4.58] [%clk 0:06:03] } 11... Bxd1
{ [%eval -4.59] [%clk 0:08:07] } 12. Kxd1 { [%eval -4.66] [%clk 0:05:48] }
12... Nd4 { [%eval -4.35] [%clk 0:08:04] } 13. d3
{ [%eval -4.58] [%clk 0:05:16] } 13... f6 $2 { [%eval -3.54] [%clk 0:07:57] }
14. Nf3 { [%eval -3.66] [%clk 0:04:57] } 14... Ne6
{ [%eval -3.07] [%clk 0:07:37] } 15. a4 { [%eval -3.83] [%clk 0:04:21] } 15...
Bh6 { [%eval -3.78] [%clk 0:07:29] } 16. g4 { [%eval -3.74] [%clk 0:03:42] }
16... Bxc1 { [%eval -3.51] [%clk 0:07:28] } 17. Rxc1
{ [%eval -3.86] [%clk 0:03:38] } 17... Nh6 { [%eval -3.72] [%clk 0:07:11] } 18.
e5 $6 { [%eval -4.67] [%clk 0:03:31] } 18... Nxg4
{ [%eval -4.65] [%clk 0:07:08] } 19. d4 { [%eval -5.05] [%clk 0:02:58] } 19...
Nxf2+ { [%eval -4.95] [%clk 0:07:07] } 20. Ke1 { [%eval -5.94] [%clk 0:02:46] }
20... Nxh1 { [%eval -5.89] [%clk 0:07:05] } 21. Nxf6+
{ [%eval -5.98] [%clk 0:02:34] } 21... Kf8 { [%eval -5.76] [%clk 0:06:59] } 22.
Ng5 { [%eval -6.35] [%clk 0:02:14] } 22... Nxd4
{ [%eval -6.49] [%clk 0:06:41] } 23. Bg2 { [%eval -6.32] [%clk 0:01:34] } 23...
Nb3 $2 { [%eval -4.41] [%clk 0:06:37] } 24. Ra1 $2
{ [%eval -5.91] [%clk 0:01:16] } 24... Ng3 $2 { [%eval -4.33] [%clk 0:06:36] }
25. Rd1 { [%eval -5.21] [%clk 0:01:09] } 25... h6 $2
{ [%eval -3.68] [%clk 0:06:28] } 26. Ne6+ { [%eval -3.6] [%clk 0:00:59] } 26...
Ke7 { [%eval -3.48] [%clk 0:06:21] } 27. Nxd8 { [%eval -3.5] [%clk 0:00:47] }
27... Raxd8 { [%eval -3.5] [%clk 0:06:12] } 28. Rd3
{ [%eval -3.28] [%clk 0:00:32] } 28... dxe5 { [%eval -3.0] [%clk 0:06:10] } 29.
Rxg3 $2 { [%eval -4.13] [%clk 0:00:25] } 29... Rhf8 $4
{ [%eval -0.2] [%clk 0:05:56] } 30. Rxb3 $4 { [%eval -3.88] [%clk 0:00:19] }
30... Rxf6 { [%eval -3.41] [%clk 0:05:54] } 31. Rxb7+
{ [%eval -3.32] [%clk 0:00:14] } 31... Kf8 { [%eval -3.05] [%clk 0:05:47] } 0-1"
