Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,Moves
Rated Blitz game,https://lichess.org/vyuvQMl2,2024.08.01,-,rooftopjuicebox,spnkndsn,1-0,2024.08.01,16:43:31,1180,1161,,,B23,Sicilian Defense: Grand Prix Attack,180+2,Normal,"1. e4 { [%clk 0:03:00] } 1... c5 { [%clk 0:03:00] } 2. Nc3 { [%clk 0:03:01] }
2... Nc6 { [%clk 0:02:59] } 3. f4 { [%clk 0:03:01] } 3... e6 { [%clk 0:02:59] }
4. Nf3 { [%clk 0:03:02] } 4... Nf6 { [%clk 0:03:01] } 5. d4 { [%clk 0:03:01] }
5... cxd4 { [%clk 0:03:01] } 6. Nxd4 { [%clk 0:03:02] } 6... d5
{ [%clk 0:02:58] } 7. e5 { [%clk 0:02:57] } 7... Ne4 { [%clk 0:02:57] } 8. Bd3
{ [%clk 0:02:49] } 8... Nxd4 { [%clk 0:02:53] } 9. Bxe4 { [%clk 0:02:45] } 9...
dxe4 { [%clk 0:02:48] } 10. O-O { [%clk 0:02:43] } 10... Qb6 { [%clk 0:02:46] }
11. Kh1 { [%clk 0:02:33] } 11... Bc5 { [%clk 0:02:43] } 12. b3
{ [%clk 0:02:24] } 12... O-O { [%clk 0:02:41] } 13. Qg4 { [%clk 0:02:12] }
13... Nf5 { [%clk 0:02:31] } 14. Nxe4 { [%clk 0:02:10] } 14... Bd7
{ [%clk 0:02:21] } 15. Ng5 { [%clk 0:01:58] } 15... Nh6 { [%clk 0:02:16] } 16.
Qh4 { [%clk 0:01:46] } 16... Bb5 { [%clk 0:02:09] } 17. Rd1 { [%clk 0:01:41] }
17... Rad8 { [%clk 0:02:06] } 18. Bb2 { [%clk 0:01:37] } 18... Bf2
{ [%clk 0:02:00] } 19. Qh3 { [%clk 0:01:26] } 19... Be2 { [%clk 0:01:51] } 20.
Rxd8 { [%clk 0:01:18] } 20... Rxd8 { [%clk 0:01:53] } 21. c4 { [%clk 0:01:16] }
21... Rd1+ { [%clk 0:01:51] } 22. Rxd1 { [%clk 0:01:16] } 22... Bxd1
{ [%clk 0:01:53] } 23. Nf3 { [%clk 0:01:04] } 23... Qe3 { [%clk 0:01:46] } 24.
Bd4 { [%clk 0:00:39] } 24... Qc1 { [%clk 0:01:40] } 25. Bxf2 { [%clk 0:00:32] }
25... Bxf3+ { [%clk 0:01:32] } 26. Bg1 { [%clk 0:00:23] } 26... Bg4
{ [%clk 0:01:30] } 27. Qd3 { [%clk 0:00:18] } 27... Nf5 { [%clk 0:01:24] } 28.
Qd8# { [%clk 0:00:16] } 1-0"
Rated Blitz game,https://lichess.org/2hN88x3R,2024.08.01,-,shingoman,amrsaid208,0-1,2024.08.01,16:43:37,1249,1195,,,C41,Philidor Defense: Hanham Variation,180+2,Normal,"1. e4 { [%clk 0:03:00] } 1... e5 { [%clk 0:03:00] } 2. Nf3 { [%clk 0:03:00] }
2... d6 { [%clk 0:03:01] } 3. d4 { [%clk 0:02:58] } 3... Nd7 { [%clk 0:02:43] }
4. dxe5 { [%clk 0:02:58] } 4... dxe5 { [%clk 0:02:44] } 5. Nxe5
{ [%clk 0:02:58] } 5... Nxe5 { [%clk 0:02:40] } 6. Qxd8+ { [%clk 0:02:58] }
6... Kxd8 { [%clk 0:02:40] } 7. Be2 { [%clk 0:02:59] } 7... b6
{ [%clk 0:02:34] } 8. Nc3 { [%clk 0:03:01] } 8... Bb7 { [%clk 0:02:35] } 9. Bf3
{ [%clk 0:02:59] } 9... Nf6 { [%clk 0:02:35] } 10. Bg5 { [%clk 0:02:59] } 10...
Bb4 { [%clk 0:02:25] } 11. O-O-O+ { [%clk 0:02:59] } 11... Bd6
{ [%clk 0:02:21] } 12. Bxf6+ { [%clk 0:02:55] } 12... gxf6 { [%clk 0:02:20] }
13. Nb5 { [%clk 0:02:44] } 13... Ke7 { [%clk 0:02:09] } 14. Nxd6
{ [%clk 0:02:32] } 14... cxd6 { [%clk 0:02:09] } 15. b3 { [%clk 0:02:27] }
15... Rhg8 { [%clk 0:02:03] } 16. g3 { [%clk 0:02:27] } 16... Nxf3
{ [%clk 0:02:02] } 17. Rd3 { [%clk 0:02:26] } 17... Bxe4 { [%clk 0:02:00] } 18.
Re3 { [%clk 0:02:27] } 18... d5 { [%clk 0:01:55] } 19. h4 { [%clk 0:02:22] }
19... f5 { [%clk 0:01:49] } 20. h5 { [%clk 0:02:15] } 20... f4
{ [%clk 0:01:37] } 21. gxf4 { [%clk 0:02:15] } 21... Rg2 { [%clk 0:01:38] } 22.
Rf1 { [%clk 0:02:12] } 22... Rh2 { [%clk 0:01:23] } 23. Rc3 { [%clk 0:02:05] }
23... Kf6 { [%clk 0:01:20] } 24. Rc6+ { [%clk 0:02:04] } 24... Kg7
{ [%clk 0:01:17] } 25. c4 { [%clk 0:01:50] } 25... dxc4 { [%clk 0:00:55] } 26.
Rxc4 { [%clk 0:01:50] } 26... Bd3 { [%clk 0:00:55] } 27. Rc3 { [%clk 0:01:32] }
27... Be4 { [%clk 0:00:37] } 28. Rd1 { [%clk 0:01:31] } 28... Rxh5
{ [%clk 0:00:33] } 29. Rd4 { [%clk 0:01:29] } 29... Nxd4 { [%clk 0:00:31] } 30.
Rg3+ { [%clk 0:01:27] } 30... Kf8 { [%clk 0:00:30] } 31. Kb2 { [%clk 0:01:27] }
31... Rh2 { [%clk 0:00:30] } 32. Ka3 { [%clk 0:01:25] } 32... Rxf2
{ [%clk 0:00:30] } 0-1"
Rated Blitz game,https://lichess.org/QoaI23Rn,2024.08.01,-,HenryHoakim,slonbishop,0-1,2024.08.01,16:43:37,1093,1127,,,C61,Ruy Lopez: Bird Variation,180+2,Normal,"1. e4 { [%clk 0:03:00] } 1... e5 { [%clk 0:03:00] } 2. Nf3 { [%clk 0:03:01] }
2... Nc6 { [%clk 0:03:01] } 3. Bb5 { [%clk 0:03:03] } 3... Nd4
{ [%clk 0:02:58] } 4. Nxd4 { [%clk 0:03:02] } 4... exd4 { [%clk 0:02:59] } 5.
d3 { [%clk 0:03:03] } 5... c6 { [%clk 0:03:00] } 6. Bc4 { [%clk 0:03:03] } 6...
b5 { [%clk 0:03:01] } 7. Bb3 { [%clk 0:03:01] } 7... a5 { [%clk 0:03:02] } 8.
Qf3 { [%clk 0:03:01] } 8... f6 { [%clk 0:02:56] } 9. c3 { [%clk 0:02:46] } 9...
a4 { [%clk 0:02:51] } 10. Bc2 { [%clk 0:02:42] } 10... Bd6 { [%clk 0:02:51] }
11. O-O { [%clk 0:02:35] } 11... Ne7 { [%clk 0:02:51] } 12. Re1
{ [%clk 0:02:36] } 12... Ng6 { [%clk 0:02:40] } 13. cxd4 { [%clk 0:02:30] }
13... O-O { [%clk 0:02:40] } 14. e5 { [%clk 0:02:31] } 14... fxe5
{ [%clk 0:02:39] } 15. dxe5 { [%clk 0:02:31] } 15... Rxf3 { [%clk 0:02:39] }
16. gxf3 { [%clk 0:02:22] } 16... Nxe5 { [%clk 0:02:40] } 17. f4
{ [%clk 0:02:22] } 17... Nf3+ { [%clk 0:02:40] } 18. Kf1 { [%clk 0:02:22] }
18... Nxe1 { [%clk 0:02:40] } 19. Kxe1 { [%clk 0:02:23] } 19... Qf6
{ [%clk 0:02:41] } 20. Nc3 { [%clk 0:02:19] } 20... Bxf4 { [%clk 0:02:41] } 21.
Ne4 { [%clk 0:02:19] } 21... Qh4 { [%clk 0:02:36] } 22. Bxf4 { [%clk 0:02:13] }
22... Qxf4 { [%clk 0:02:37] } 0-1"
Rated Blitz game,https://lichess.org/iesvXJl7,2024.08.01,-,Airbus2021,silvain08,1-0,2024.08.01,16:43:37,1646,1756,,,B44,Sicilian Defense: Taimanov Variation,180+2,Normal,"1. e4 { [%clk 0:03:00] } 1... c5 { [%clk 0:03:00] } 2. Nf3 { [%clk 0:03:01] }
2... Nc6 { [%clk 0:03:01] } 3. d4 { [%clk 0:03:02] } 3... cxd4
{ [%clk 0:03:02] } 4. Nxd4 { [%clk 0:03:04] } 4... e6 { [%clk 0:03:03] } 5. Bc4
{ [%clk 0:03:05] } 5... Nf6 { [%clk 0:03:04] } 6. Nc3 { [%clk 0:03:04] } 6...
Bb4 { [%clk 0:03:04] } 7. Qd3 { [%clk 0:03:03] } 7... Bxc3+ { [%clk 0:03:00] }
8. bxc3 { [%clk 0:03:04] } 8... O-O { [%clk 0:02:58] } 9. O-O
{ [%clk 0:03:04] } 9... d5 { [%clk 0:02:56] } 10. exd5 { [%clk 0:03:05] } 10...
Nxd5 { [%clk 0:02:56] } 11. Re1 { [%clk 0:02:45] } 11... a6 { [%clk 0:02:37] }
12. Nxc6 { [%clk 0:02:37] } 12... bxc6 { [%clk 0:02:37] } 13. Rb1
{ [%clk 0:02:30] } 13... Qa5 { [%clk 0:02:33] } 14. Bd2 { [%clk 0:02:22] }
14... Rd8 { [%clk 0:02:22] } 15. Bb3 { [%clk 0:02:20] } 15... Qc7
{ [%clk 0:02:15] } 16. Rbd1 { [%clk 0:01:54] } 16... Bb7 { [%clk 0:02:10] } 17.
Qf3 { [%clk 0:01:52] } 17... c5 { [%clk 0:02:04] } 18. Qg4 { [%clk 0:01:41] }
18... Nf6 { [%clk 0:01:57] } 19. Qh4 { [%clk 0:01:34] } 19... c4
{ [%clk 0:01:48] } 20. Bxc4 { [%clk 0:01:25] } 20... Bd5 { [%clk 0:01:44] } 21.
Bd3 { [%clk 0:01:14] } 21... Bxa2 { [%clk 0:01:42] } 22. Bg5 { [%clk 0:01:08] }
22... h6 { [%clk 0:01:11] } 23. Bxf6 { [%clk 0:01:00] } 23... gxf6
{ [%clk 0:01:11] } 24. Qxf6 { [%clk 0:01:02] } 24... Rd5 { [%clk 0:01:03] } 25.
Re3 { [%clk 0:01:01] } 25... Rg5 { [%clk 0:00:48] } 26. Qxh6 { [%clk 0:00:40] }
26... Rg7 { [%clk 0:00:43] } 27. Rh3 { [%clk 0:00:14] } 27... f5
{ [%clk 0:00:39] } 28. Qh8+ { [%clk 0:00:10] } 28... Kf7 { [%clk 0:00:40] } 29.
Qxa8 { [%clk 0:00:11] } 29... Bd5 { [%clk 0:00:40] } 30. Qh8 { [%clk 0:00:09] }
30... Bxg2 { [%clk 0:00:30] } 31. Qh5+ { [%clk 0:00:09] } 31... Kf8
{ [%clk 0:00:26] } 32. Rg3 { [%clk 0:00:09] } 32... Rxg3 { [%clk 0:00:11] } 33.
hxg3 { [%clk 0:00:10] } 33... Bb7 { [%clk 0:00:09] } 34. Rb1 { [%clk 0:00:09] }
34... Qc6 { [%clk 0:00:10] } 35. Qh8+ { [%clk 0:00:09] } 35... Ke7
{ [%clk 0:00:11] } 36. Qh7+ { [%clk 0:00:10] } 36... Kf6 { [%clk 0:00:11] } 37.
Qxb7 { [%clk 0:00:10] } 37... Qxc3 { [%clk 0:00:11] } 38. Qf3
{ [%clk 0:00:08] } 38... a5 { [%clk 0:00:10] } 39. g4 { [%clk 0:00:08] } 39...
a4 { [%clk 0:00:09] } 40. gxf5 { [%clk 0:00:09] } 40... a3 { [%clk 0:00:06] }
41. fxe6+ { [%clk 0:00:08] } 41... Kxe6 { [%clk 0:00:08] } 42. Qe4+
{ [%clk 0:00:08] } 42... Kf7 { [%clk 0:00:08] } 43. Qc4+ { [%clk 0:00:08] }
43... Qxc4 { [%clk 0:00:08] } 44. Bxc4+ { [%clk 0:00:10] } 1-0"
Rated Blitz game,https://lichess.org/D2jzhdK5,2024.08.01,-,boomermarginal,roman200670,0-1,2024.08.01,16:43:37,1521,1627,,,C47,Four Knights Game: Italian Variation,180+2,Normal,"1. e4 { [%clk 0:03:00] } 1... e5 { [%clk 0:03:00] } 2. Nf3 { [%clk 0:03:01] }
2... Nc6 { [%clk 0:03:01] } 3. Nc3 { [%clk 0:03:01] } 3... Nf6
{ [%clk 0:03:01] } 4. Bc4 { [%clk 0:03:02] } 4... Nxe4 { [%clk 0:03:02] } 5.
Nxe4 { [%clk 0:03:02] } 5... d5 { [%clk 0:03:02] } 6. Bb5 { [%clk 0:02:57] }
6... dxe4 { [%clk 0:03:00] } 7. Nxe5 { [%clk 0:02:58] } 7... Qf6
{ [%clk 0:02:54] } 8. Nxc6 { [%clk 0:02:55] } 8... bxc6 { [%clk 0:02:54] } 9.
Bc4 { [%clk 0:02:51] } 9... Bc5 { [%clk 0:02:55] } 10. Qe2 { [%clk 0:02:47] }
10... O-O { [%clk 0:02:52] } 11. O-O { [%clk 0:02:47] } 11... Qg6
{ [%clk 0:02:48] } 12. d3 { [%clk 0:02:43] } 12... Bh3 { [%clk 0:02:44] } 13.
Qxe4 { [%clk 0:02:27] } 13... Qxe4 { [%clk 0:02:36] } 14. dxe4
{ [%clk 0:02:29] } 14... Be6 { [%clk 0:02:31] } 15. Bd3 { [%clk 0:02:26] }
15... Rab8 { [%clk 0:02:14] } 16. Bf4 { [%clk 0:02:26] } 16... Bd6
{ [%clk 0:02:11] } 17. Be3 { [%clk 0:02:22] } 17... Rxb2 { [%clk 0:02:10] } 18.
Bxa7 { [%clk 0:02:23] } 18... Ra8 { [%clk 0:02:07] } 19. Bd4 { [%clk 0:02:22] }
19... Rbxa2 { [%clk 0:02:06] } 20. Rxa2 { [%clk 0:02:19] } 20... Rxa2
{ [%clk 0:02:07] } 21. Rb1 { [%clk 0:02:18] } 21... Ra8 { [%clk 0:01:53] } 22.
h3 { [%clk 0:02:17] } 22... h5 { [%clk 0:01:53] } 23. c4 { [%clk 0:02:08] }
23... g6 { [%clk 0:01:47] } 24. c5 { [%clk 0:02:06] } 24... Bf4
{ [%clk 0:01:45] } 25. Rb7 { [%clk 0:01:59] } 25... Ra3 { [%clk 0:01:40] } 26.
Be2 { [%clk 0:01:55] } 26... Ra4 { [%clk 0:01:33] } 27. Bf6 { [%clk 0:01:47] }
27... Rxe4 { [%clk 0:01:31] } 28. Bf3 { [%clk 0:01:44] } 28... Re1#
{ [%clk 0:01:25] } 0-1"
Rated Blitz game,https://lichess.org/hAesoq1R,2024.08.01,-,karoooxx,zman777,1-0,2024.08.01,16:43:37,1516,1442,,,B22,Sicilian Defense: Alapin Variation,180+2,Normal,"1. e4 { [%clk 0:03:00] } 1... c5 { [%clk 0:03:00] } 2. c3 { [%clk 0:02:58] }
2... Nc6 { [%clk 0:03:01] } 3. d4 { [%clk 0:02:59] } 3... cxd4
{ [%clk 0:03:02] } 4. cxd4 { [%clk 0:02:59] } 4... d5 { [%clk 0:03:03] } 5.
exd5 { [%clk 0:02:58] } 5... Qxd5 { [%clk 0:03:04] } 6. Nf3 { [%clk 0:02:59] }
6... g6 { [%clk 0:03:03] } 7. Nc3 { [%clk 0:03:00] } 7... Qd8
{ [%clk 0:03:04] } 8. Bb5 { [%clk 0:02:57] } 8... a6 { [%clk 0:03:00] } 9.
Bxc6+ { [%clk 0:02:56] } 9... bxc6 { [%clk 0:03:01] } 10. O-O
{ [%clk 0:02:57] } 10... Bg7 { [%clk 0:03:01] } 11. Re1 { [%clk 0:02:53] }
11... Nf6 { [%clk 0:03:01] } 12. Qe2 { [%clk 0:02:47] } 12... e6
{ [%clk 0:03:01] } 13. Bg5 { [%clk 0:02:42] } 13... h6 { [%clk 0:02:58] } 14.
Be3 { [%clk 0:02:37] } 14... O-O { [%clk 0:02:59] } 15. Qd2 { [%clk 0:02:35] }
15... Nd5 { [%clk 0:02:59] } 16. Bxh6 { [%clk 0:02:32] } 16... Nxc3
{ [%clk 0:02:54] } 17. bxc3 { [%clk 0:02:30] } 17... Qa5 { [%clk 0:02:29] } 18.
Bxg7 { [%clk 0:02:28] } 18... Kxg7 { [%clk 0:02:30] } 19. Rac1
{ [%clk 0:02:21] } 19... Bb7 { [%clk 0:02:31] } 20. Qc2 { [%clk 0:02:19] }
20... Rab8 { [%clk 0:02:31] } 21. Ne5 { [%clk 0:02:20] } 21... c5
{ [%clk 0:02:24] } 22. Nxg6 { [%clk 0:02:15] } 22... fxg6 { [%clk 0:02:07] }
23. Rxe6 { [%clk 0:02:14] } 23... Qc7 { [%clk 0:01:25] } 24. Qxg6+
{ [%clk 0:02:11] } 1-0"
Rated Blitz game,https://lichess.org/gJTbJn1r,2024.08.01,-,tommy2901,sardinia2019,0-1,2024.08.01,16:43:37,1863,1862,,,B01,Scandinavian Defense: Main Line,180+2,Normal,"1. e4 { [%clk 0:03:00] } 1... d5 { [%clk 0:03:00] } 2. exd5 { [%clk 0:03:00] }
2... Qxd5 { [%clk 0:03:00] } 3. Nc3 { [%clk 0:03:01] } 3... Qa5
{ [%clk 0:03:00] } 4. Nf3 { [%clk 0:03:01] } 4... Bg4 { [%clk 0:02:59] } 5. Be2
{ [%clk 0:03:02] } 5... Nc6 { [%clk 0:02:59] } 6. O-O { [%clk 0:03:02] } 6...
O-O-O { [%clk 0:02:59] } 7. d3 { [%clk 0:02:59] } 7... Nf6 { [%clk 0:02:57] }
8. Be3 { [%clk 0:02:57] } 8... h6 { [%clk 0:02:56] } 9. a3 { [%clk 0:02:53] }
9... Qh5 { [%clk 0:02:56] } 10. b4 { [%clk 0:02:40] } 10... e6
{ [%clk 0:02:53] } 11. b5 { [%clk 0:02:40] } 11... Bd6 { [%clk 0:02:53] } 12.
g3 { [%clk 0:02:17] } 12... Ne5 { [%clk 0:02:46] } 13. Nxe5 { [%clk 0:02:14] }
13... Bxe5 { [%clk 0:02:47] } 14. Bxg4 { [%clk 0:01:55] } 14... Nxg4
{ [%clk 0:02:44] } 15. h3 { [%clk 0:01:50] } 15... Qxh3 { [%clk 0:02:42] } 16.
Re1 { [%clk 0:01:33] } 16... Bxc3 { [%clk 0:02:36] } 17. Bd2 { [%clk 0:01:25] }
17... Bd4 { [%clk 0:02:30] } 18. Be3 { [%clk 0:01:14] } 18... Qh2+
{ [%clk 0:02:26] } 19. Kf1 { [%clk 0:01:14] } 19... Bxe3 { [%clk 0:02:18] } 20.
Qe2 { [%clk 0:01:00] } 20... Qh1# { [%clk 0:02:13] } 0-1"
Rated Blitz game,https://lichess.org/Pp3DjXU9,2024.08.01,-,chimmywhitelake63,meteklan,0-1,2024.08.01,16:43:37,2347,2491,,,B23,Sicilian Defense: Closed,180+2,Normal,"1. e4 { [%eval 0.15] [%clk 0:03:00] } 1... c5 { [%eval 0.25] [%clk 0:03:00] }
2. Nc3 { [%eval 0.21] [%clk 0:03:01] } 2... g6 { [%eval 0.39] [%clk 0:03:00] }
3. d4 { [%eval 0.31] [%clk 0:03:02] } 3... cxd4 { [%eval 0.39] [%clk 0:03:01] }
4. Qxd4 { [%eval 0.3] [%clk 0:03:04] } 4... Nf6 { [%eval 0.41] [%clk 0:03:02] }
5. Bb5 { [%eval 0.0] [%clk 0:03:05] } 5... a6 { [%eval 0.1] [%clk 0:02:44] } 6.
e5 { [%eval 0.05] [%clk 0:03:05] } 6... axb5 { [%eval 0.04] [%clk 0:02:45] } 7.
exf6 { [%eval 0.09] [%clk 0:03:01] } 7... exf6 $2
{ [%eval 1.19] [%clk 0:02:42] } 8. Nxb5 { [%eval 0.82] [%clk 0:02:58] } 8...
Qa5+ { [%eval 0.91] [%clk 0:02:42] } 9. Nc3 { [%eval 0.73] [%clk 0:02:59] }
9... Qe5+ $6 { [%eval 1.68] [%clk 0:02:42] } 10. Qe3 $2
{ [%eval 0.48] [%clk 0:02:59] } 10... Bc5 { [%eval 0.22] [%clk 0:02:34] } 11.
Qe2 { [%eval 0.34] [%clk 0:02:55] } 11... O-O { [%eval 0.6] [%clk 0:02:33] }
12. Nf3 { [%eval 0.45] [%clk 0:02:55] } 12... Qh5
{ [%eval 0.64] [%clk 0:02:28] } 13. O-O { [%eval 0.67] [%clk 0:02:54] } 13...
d5 { [%eval 0.56] [%clk 0:02:28] } 14. Qb5 { [%eval 0.48] [%clk 0:02:54] }
14... b6 { [%eval 0.69] [%clk 0:02:18] } 15. b4 $4
{ [%eval -3.81] [%clk 0:02:54] } 15... Ba6 { [%eval -3.99] [%clk 0:02:12] } 16.
Qa4 { [%eval -4.74] [%clk 0:02:52] } 16... Bxf1
{ [%eval -4.51] [%clk 0:01:48] } 17. Qxa8 { [%eval -4.71] [%clk 0:02:52] }
17... Bxg2 { [%eval -4.71] [%clk 0:01:48] } 18. Nxd5
{ [%eval -5.33] [%clk 0:02:34] } 18... Qxf3 $2 { [%eval -3.07] [%clk 0:01:44] }
19. Nxf6+ $4 { [%eval -7.31] [%clk 0:02:29] } 19... Qxf6
{ [%eval -7.38] [%clk 0:01:43] } 20. Qxg2 { [%eval -7.37] [%clk 0:02:28] }
20... Qxa1 { [%eval -7.24] [%clk 0:01:42] } 0-1"
Rated Blitz game,https://lichess.org/dNYmmrq8,2024.08.01,-,wdrne,mfahmy,1-0,2024.08.01,16:43:37,1803,1775,,,C60,Ruy Lopez: Fianchetto Defense,180+2,Time forfeit,"1. e4 { [%clk 0:03:00] } 1... e5 { [%clk 0:03:00] } 2. Nf3 { [%clk 0:03:01] }
2... Nc6 { [%clk 0:03:01] } 3. Bb5 { [%clk 0:03:01] } 3... g6
{ [%clk 0:03:01] } 4. d3 { [%clk 0:02:59] } 4... Bg7 { [%clk 0:03:01] } 5. Bg5
{ [%clk 0:02:59] } 5... Nge7 { [%clk 0:02:59] } 6. Qd2 { [%clk 0:02:59] } 6...
O-O { [%clk 0:02:55] } 7. Nc3 { [%clk 0:02:57] } 7... Qe8 { [%clk 0:02:44] } 8.
Bh6 { [%clk 0:02:56] } 8... a6 { [%clk 0:02:39] } 9. Ba4 { [%clk 0:02:57] }
9... b5 { [%clk 0:02:39] } 10. Bb3 { [%clk 0:02:57] } 10... d6
{ [%clk 0:02:37] } 11. h4 { [%clk 0:02:57] } 11... Nd4 { [%clk 0:02:26] } 12.
h5 { [%clk 0:02:41] } 12... Nxb3 { [%clk 0:02:01] } 13. axb3 { [%clk 0:02:40] }
13... f5 { [%clk 0:02:00] } 14. exf5 { [%clk 0:02:35] } 14... Nxf5
{ [%clk 0:01:58] } 15. Bxg7 { [%clk 0:02:35] } 15... Kxg7 { [%clk 0:01:55] }
16. hxg6 { [%clk 0:02:35] } 16... Qxg6 { [%clk 0:01:49] } 17. O-O-O
{ [%clk 0:02:33] } 17... Bb7 { [%clk 0:01:40] } 18. Ne4 { [%clk 0:02:28] }
18... Bxe4 { [%clk 0:01:27] } 19. dxe4 { [%clk 0:02:28] } 19... Ne7
{ [%clk 0:01:14] } 20. Qe3 { [%clk 0:02:18] } 20... Rf4 { [%clk 0:01:05] } 21.
Rh3 { [%clk 0:02:17] } 21... Qxe4 { [%clk 0:00:50] } 22. Rdh1
{ [%clk 0:02:11] } 22... Rh8 { [%clk 0:00:33] } 23. Qd2 { [%clk 0:01:35] }
23... Qf5 { [%clk 0:00:12] } 24. Rg3+ { [%clk 0:01:27] } 24... Rg4
{ [%clk 0:00:10] } 25. Qh6+ { [%clk 0:01:23] } 25... Kf7 { [%clk 0:00:09] } 26.
Ng5+ { [%clk 0:01:15] } 26... Ke8 { [%clk 0:00:06] } 27. Qh5+
{ [%clk 0:01:01] } 1-0"
Rated Blitz game,https://lichess.org/PqVnHCSo,2024.08.01,-,th3_gruff,yosef1981,0-1,2024.08.01,16:43:37,1898,1892,,,C39,King's Gambit Accepted: King's Knight's Gambit,180+2,Normal,"1. e4 { [%clk 0:03:00] } 1... e5 { [%clk 0:03:00] } 2. f4 { [%clk 0:03:01] }
2... exf4 { [%clk 0:03:01] } 3. Nf3 { [%clk 0:03:03] } 3... g5
{ [%clk 0:03:02] } 4. h4 { [%clk 0:03:02] } 4... d5 { [%clk 0:03:03] } 5. Nxg5
{ [%clk 0:02:48] } 5... h6 { [%clk 0:02:54] } 6. Qh5 { [%clk 0:02:48] } 6...
Qf6 { [%clk 0:02:38] } 7. Qf3 { [%clk 0:01:13] } 7... hxg5 { [%clk 0:02:36] }
8. hxg5 { [%clk 0:01:12] } 8... Qg7 { [%clk 0:02:31] } 9. Rxh8
{ [%clk 0:01:06] } 9... Qxh8 { [%clk 0:02:30] } 10. Nc3 { [%clk 0:00:58] }
10... Qh4+ { [%clk 0:02:27] } 11. Kd1 { [%clk 0:00:56] } 11... Bg4
{ [%clk 0:02:27] } 12. Be2 { [%clk 0:00:43] } 12... Qh1+ { [%clk 0:02:19] } 13.
Qf1 { [%clk 0:00:42] } 13... Qxf1# { [%clk 0:02:18] } 0-1"
